"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","Cisco_fb:3d:f0","Broadcast","ARP","60","Who has 10.1.60.253? Tell 10.1.60.132"
"2","0.000015","Cisco_fb:3d:f0","Broadcast","ARP","60","Who has 10.1.60.1? Tell 10.1.60.132"
"3","0.000246","Vmware_95:9c:a0","Cisco_fb:3d:f0","ARP","60","10.1.60.253 is at 00:0c:29:95:9c:a0"
"4","0.000250","Cisco_fb:3d:f0","Broadcast","ARP","60","Who has 10.1.60.203? Tell 10.1.60.132"
"5","0.000991","Cisco_21:b4:00","Cisco_fb:3d:f0","ARP","60","10.1.60.1 is at 00:1e:7a:21:b4:00"
"6","0.000998","Cisco_fb:3d:f0","Broadcast","ARP","60","Gratuitous ARP for 10.1.60.5 (Reply)"
"7","0.001366","Vmware_d7:b7:89","Cisco_fb:3d:f0","ARP","60","10.1.60.203 is at 00:0c:29:d7:b7:89"
"8","0.880864","Cisco_8d:d3:98","CDP/VTP/DTP/PAgP/UDLD","CDP","376","Device ID: Switch  Port ID: GigabitEthernet0/24  "
"9","0.881111","Cisco_8d:d3:98","CDP/VTP/DTP/PAgP/UDLD","CDP","376","Device ID: Switch  Port ID: GigabitEthernet0/24  "
"10","0.881486","Cisco_8d:d3:98","CDP/VTP/DTP/PAgP/UDLD","CDP","376","Device ID: Switch  Port ID: GigabitEthernet0/24  "
"11","10.396757","Cisco_8d:d3:98","CDP/VTP/DTP/PAgP/UDLD","CDP","376","Device ID: Switch  Port ID: GigabitEthernet0/24  "
"12","17.951521","10.1.60.203","10.1.60.187","TCP","74","50398  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=8 SACK_PERM=1 TSval=297034188 TSecr=0"
"13","17.952524","10.1.60.187","10.1.60.203","TCP","74","80  >  50398 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=44609789 TSecr=297034188 WS=64"
